CO_MUNICIPIO_IES,no_curso_aj_2,n
4205407,biologia,6
4205407,educacaofisica,5
4205407,filosofia,4
4205407,fisica,7
4205407,geografia,2
4205407,historia,2
4205407,matematica,21
4205407,musica,3
4205407,pedagogia,14
4205407,quimica,7
4205407,teatro,4
4301602,cienciasdanaturezaematematica,1
4301602,linguaportuguesa,5
4301602,matematica,2
4310207,linguaportuguesa,1
4314407,artes,6
4314407,biologia,1
4314407,computacao,1
4314407,educacaofisica,1
4314407,filosofia,1
4314407,fisica,2
4314407,geografia,3
4314407,historia,4
4314407,linguaportuguesa,13
4314407,matematica,6
4314407,quimica,4
4314407,sociologia,6
4314902,artes,5
4314902,biologia,4
4314902,danca,1
4314902,educacaodocampocienciasdanatureza,1
4314902,filosofia,2
4314902,fisica,6
4314902,geografia,1
4314902,historia,1
4314902,linguaportuguesa,15
4314902,matematica,6
4314902,pedagogia,9
4314902,quimica,1
4314902,sociologia,5
4315602,artes,1
4315602,biologia,2
4315602,fisica,1
4315602,geografia,1
4315602,historia,2
4315602,linguaportuguesa,4
4315602,matematica,2
4315602,pedagogia,1
4315602,quimica,1
4316907,artes,3
4316907,danca,1
4316907,educacaoespecial,1
4316907,educacaofisica,11
4316907,filosofia,2
4316907,fisica,1
4316907,geografia,1
4316907,historia,8
4316907,linguaportuguesa,15
4316907,matematica,8
4316907,pedagogia,3
4316907,quimica,4
4316907,sociologia,4
5002704,biologia,4
5002704,educacaofisica,1
5002704,filosofia,1
5002704,fisica,1
5002704,geografia,1
5002704,historia,3
5002704,linguaportuguesa,9
5002704,matematica,4
5002704,pedagogia,5
5002704,quimica,1
5003702,biologia,6
5003702,quimica,4
5102504,linguaportuguesa,2
5102504,matematica,2
5103403,biologia,6
5103403,filosofia,1
5103403,fisica,3
5103403,geografia,1
5103403,historia,2
5103403,linguaportuguesa,8
5103403,matematica,8
5103403,pedagogia,1
5103403,quimica,2
5205109,biologia,2
5205109,fisica,2
5205109,historia,1
5205109,linguaportuguesa,1
5205109,matematica,2
5205109,pedagogia,3
5208707,artes,7
5208707,biologia,26
5208707,danca,1
5208707,fisica,16
5208707,geografia,5
5208707,historia,28
5208707,linguaportuguesa,35
5208707,matematica,10
5208707,pedagogia,16
5208707,quimica,17
5208707,sociologia,3
5208707,teatro,2
5211909,fisica,1
5211909,geografia,1
5211909,historia,2
5211909,linguaportuguesa,3
5211909,matematica,3
5300108,biologia,3
5300108,educacaofisica,2
5300108,fisica,7
5300108,geografia,8
5300108,linguaportuguesa,17
5300108,matematica,7
5300108,pedagogia,1
5300108,quimica,8
,pedagogia,1
